Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
21,A/A*,h5,2,3,0.0009996891021728516
22,UCS,N/A,N/A,1834,0.7948381900787354
22,GBFS,h1,N/A,935,0.40195703506469727
22,GBFS,h2,N/A,935,0.3999302387237549
22,GBFS,h3,N/A,935,0.4058840274810791
22,GBFS,h4,N/A,935,0.40355443954467773
22,GBFS,h5,N/A,935,0.41211938858032227
22,A/A*,h1,N/A,1834,0.8886280059814453
22,A/A*,h2,N/A,1834,0.8786134719848633
22,A/A*,h3,N/A,2112,3.7907276153564453
22,A/A*,h4,N/A,1822,0.8620986938476562
22,A/A*,h5,N/A,1954,0.9986846446990967
23,UCS,N/A,6,8998,8.831375122070312
23,GBFS,h1,6,592,0.34121060371398926
23,GBFS,h2,6,592,0.33979058265686035
23,GBFS,h3,6,592,0.3680245876312256
23,GBFS,h4,6,2176,1.295628547668457
23,GBFS,h5,6,465,0.2849404811859131
23,A/A*,h1,6,2836,1.8176109790802002
23,A/A*,h2,6,2836,1.8033106327056885
23,A/A*,h3,6,836,0.5564804077148438
23,A/A*,h4,6,3878,6.878598213195801
23,A/A*,h5,6,908,0.5964045524597168
24,UCS,N/A,2,26,0.009974241256713867
24,GBFS,h1,2,3,0.002990245819091797
24,GBFS,h2,2,3,0.00099945068359375
24,GBFS,h3,2,3,0.0009970664978027344
24,GBFS,h4,2,3,0.0009965896606445312
24,GBFS,h5,2,3,0.000997304916381836
24,A/A*,h1,2,11,0.003988742828369141
24,A/A*,h2,2,11,0.003989219665527344
24,A/A*,h3,2,3,0.0009975433349609375
24,A/A*,h4,2,11,0.004986763000488281
24,A/A*,h5,2,3,0.000997304916381836
25,UCS,N/A,N/A,1192,0.625260591506958
25,GBFS,h1,N/A,617,0.2743082046508789
25,GBFS,h2,N/A,617,0.2749307155609131
25,GBFS,h3,N/A,617,0.27474522590637207
25,GBFS,h4,N/A,617,0.27597713470458984
25,GBFS,h5,N/A,617,0.28395581245422363
25,A/A*,h1,N/A,1192,0.5967915058135986
25,A/A*,h2,N/A,1192,0.5808935165405273
25,A/A*,h3,N/A,1192,0.5978531837463379
25,A/A*,h4,N/A,1192,0.9986975193023682
25,A/A*,h5,N/A,1192,1.036731481552124
26,UCS,N/A,1,2,0.0
26,GBFS,h1,1,2,0.0009868144989013672
26,GBFS,h2,1,2,0.000997304916381836
26,GBFS,h3,1,2,0.0
26,GBFS,h4,1,2,0.0
26,GBFS,h5,1,2,0.000997781753540039
26,A/A*,h1,1,2,0.0
26,A/A*,h2,1,2,0.000997781753540039
26,A/A*,h3,1,2,0.0
26,A/A*,h4,1,2,0.0009655952453613281
26,A/A*,h5,1,2,0.0
27,UCS,N/A,3,84,0.047685861587524414
27,GBFS,h1,3,4,0.001994609832763672
27,GBFS,h2,3,4,0.001994609832763672
27,GBFS,h3,3,4,0.0019943714141845703
27,GBFS,h4,5,9,0.005984306335449219
27,GBFS,h5,3,4,0.001994609832763672
27,A/A*,h1,3,25,0.01192021369934082
27,A/A*,h2,3,25,0.02533698081970215
27,A/A*,h3,3,5,0.003988981246948242
27,A/A*,h4,3,63,0.03777146339416504
27,A/A*,h5,3,5,0.001997232437133789
28,UCS,N/A,N/A,1192,0.5137782096862793
28,GBFS,h1,N/A,696,0.30867671966552734
28,GBFS,h2,N/A,696,0.31667280197143555
28,GBFS,h3,N/A,696,0.31893277168273926
28,GBFS,h4,N/A,696,0.3193807601928711
28,GBFS,h5,N/A,696,0.3080728054046631
28,A/A*,h1,N/A,1152,0.5434677600860596
28,A/A*,h2,N/A,1152,0.5318214893341064
28,A/A*,h3,N/A,1262,0.6320414543151855
28,A/A*,h4,N/A,1172,0.548527717590332
28,A/A*,h5,N/A,1164,0.5750765800476074
29,UCS,N/A,1,2,0.0
29,GBFS,h1,1,2,0.001018524169921875
29,GBFS,h2,1,2,0.0
29,GBFS,h3,1,2,0.0
29,GBFS,h4,1,2,0.0
29,GBFS,h5,1,2,0.0
29,A/A*,h1,1,2,0.000993967056274414
29,A/A*,h2,1,2,0.0
29,A/A*,h3,1,2,0.0009684562683105469
29,A/A*,h4,1,2,0.0
29,A/A*,h5,1,2,0.0009968280792236328
30,UCS,N/A,N/A,28,0.010006189346313477
30,GBFS,h1,N/A,18,0.00598597526550293
30,GBFS,h2,N/A,18,0.0069789886474609375
30,GBFS,h3,N/A,18,0.006981372833251953
30,GBFS,h4,N/A,18,0.005984067916870117
30,GBFS,h5,N/A,18,0.005983591079711914
30,A/A*,h1,N/A,28,0.011298894882202148
30,A/A*,h2,N/A,28,0.011010408401489258
30,A/A*,h3,N/A,33,0.011956930160522461
30,A/A*,h4,N/A,28,0.012969732284545898
30,A/A*,h5,N/A,28,0.009971857070922852
31,UCS,N/A,2,22,0.006979227066040039
31,GBFS,h1,2,3,0.0009937286376953125
31,GBFS,h2,2,3,0.0009829998016357422
31,GBFS,h3,2,3,0.0009891986846923828
31,GBFS,h4,2,8,0.0030221939086914062
31,GBFS,h5,2,3,0.0009970664978027344
31,A/A*,h1,2,8,0.0019931793212890625
31,A/A*,h2,2,8,0.00399017333984375
31,A/A*,h3,2,3,0.0010001659393310547
31,A/A*,h4,2,8,0.00199127197265625
31,A/A*,h5,2,3,0.0
32,UCS,N/A,2,45,0.01869678497314453
32,GBFS,h1,2,3,0.0
32,GBFS,h2,2,3,0.0
32,GBFS,h3,2,3,0.0
32,GBFS,h4,2,8,0.0
32,GBFS,h5,2,3,0.009313583374023438
32,A/A*,h1,2,11,0.005018711090087891
32,A/A*,h2,2,11,0.004987955093383789
32,A/A*,h3,2,3,0.0009958744049072266
32,A/A*,h4,2,11,0.004956245422363281
32,A/A*,h5,2,3,0.0010287761688232422
33,UCS,N/A,N/A,1584,0.7404696941375732
33,GBFS,h1,N/A,816,0.3746161460876465
33,GBFS,h2,N/A,816,0.399843692779541
33,GBFS,h3,N/A,816,0.37766456604003906
33,GBFS,h4,N/A,816,0.37639474868774414
33,GBFS,h5,N/A,816,0.39281535148620605
33,A/A*,h1,N/A,1568,6.990105628967285
33,A/A*,h2,N/A,1568,0.8048527240753174
33,A/A*,h3,N/A,2087,1.0944302082061768
33,A/A*,h4,N/A,1584,0.8546867370605469
33,A/A*,h5,N/A,1568,0.8597335815429688
34,UCS,N/A,3,155,0.08573675155639648
34,GBFS,h1,3,4,0.0019948482513427734
34,GBFS,h2,3,4,0.0009980201721191406
34,GBFS,h3,3,4,0.0009975433349609375
34,GBFS,h4,3,46,0.020943880081176758
34,GBFS,h5,3,4,0.0009970664978027344
34,A/A*,h1,3,22,0.011970996856689453
34,A/A*,h2,3,4,0.001991748809814453
34,A/A*,h3,3,4,0.001994609832763672
34,A/A*,h4,3,62,0.029920101165771484
34,A/A*,h5,3,4,0.001994609832763672
35,UCS,N/A,4,56,0.021941661834716797
35,GBFS,h1,4,6,0.0029916763305664062
35,GBFS,h2,4,6,0.001994609832763672
35,GBFS,h3,4,6,0.001994609832763672
35,GBFS,h4,4,20,0.005984067916870117
35,GBFS,h5,4,6,0.0019948482513427734
35,A/A*,h1,4,19,0.0069811344146728516
35,A/A*,h2,4,8,0.0029921531677246094
35,A/A*,h3,4,6,0.002991914749145508
35,A/A*,h4,4,37,0.014960050582885742
35,A/A*,h5,4,8,0.0019943714141845703
36,UCS,N/A,N/A,90,0.03191709518432617
36,GBFS,h1,N/A,67,0.023935556411743164
36,GBFS,h2,N/A,67,0.025930404663085938
36,GBFS,h3,N/A,67,0.023936033248901367
36,GBFS,h4,N/A,67,0.02393651008605957
36,GBFS,h5,N/A,67,0.0249326229095459
36,A/A*,h1,N/A,84,0.03391003608703613
36,A/A*,h2,N/A,84,0.030916690826416016
36,A/A*,h3,N/A,84,0.031914472579956055
36,A/A*,h4,N/A,90,0.03390932083129883
36,A/A*,h5,N/A,84,0.03390932083129883
37,UCS,N/A,N/A,682,0.2652902603149414
37,GBFS,h1,N/A,353,0.13862919807434082
37,GBFS,h2,N/A,353,0.14660859107971191
37,GBFS,h3,N/A,353,0.1466374397277832
37,GBFS,h4,N/A,353,0.1385970115661621
37,GBFS,h5,N/A,353,0.13862919807434082
37,A/A*,h1,N/A,682,0.2892591953277588
37,A/A*,h2,N/A,682,0.29720497131347656
37,A/A*,h3,N/A,682,0.29421257972717285
37,A/A*,h4,N/A,682,0.3121345043182373
37,A/A*,h5,N/A,682,0.3032209873199463
38,UCS,N/A,N/A,10,0.001992940902709961
38,GBFS,h1,N/A,10,0.002960205078125
